"Date","Alibaba","Alphabet","AMCX","Autonation Inc","Brunswick Corp","Buzzfeed","CBRE","Comcast","Compass Inc","CRMT","Doordash","Ebay","Etsy","EXP World Holding","Joyy","Kingsoft","Nextdoor Holding","Opendoor","Oracle","Paltalk","Paramount Global","Phoenix New","Pinterest","Sirius XM Holding","Snowflake","Spotify","Topgolf Callaway","Uber","Vista Outdoor","VROOM Inc","Warner Bros","Weibo","Yelp"
2022-12-16,111.69,90.26,16.78,111.69,72.25,0.89,75.8,34.49,2.67,69.64,52.52,41,126.32,11.89,32.85,3.59,2,1.26,79.58,1.54,17.31,2.52,24.8,5.96,142.45,74.74,20.47,25.97,23.86,1.05,9.91,17.59,27.48
2022-12-15,114.41,90.86,17.04,114.41,72.62,0.97,77.44,34.61,2.57,71.5,55.25,42.29,125.97,11.92,32.9,3.61,1.99,1.4,80.07,1.54,17.66,2.54,25.16,5.97,142.65,72.36,20.92,26.24,24.91,1.03,10,18.41,27.1
2022-12-14,114.43,95.07,18.33,114.43,74.27,0.9952,79.41,35.35,2.82,74.18,58.5,43.75,132.03,12.48,33.96,3.85,2,1.52,81.82,1.51,19.36,2.52,26.22,6.12,149.2,79.32,21.58,27.47,25.69,1.05,10.98,18.44,27.94
2022-12-13,113.76,95.63,18.54,113.76,74.7,1.02,79.86,36.71,2.65,73,58.24,43.72,131.6,12.34,34.59,3.49,2.06,1.53,80.56,1.51,19.67,2.54,26.42,6.16,150.58,80.96,21.85,26.98,26.22,1.01,10.89,18.48,28.22
2022-12-12,117.06,93.31,18.7,117.06,74.08,1,76.5,36.52,2.64,75.28,58.02,43.72,129.52,12.43,34.31,3.21,2.11,1.45,81.28,1.52,19.67,2.54,23.61,6.15,150.88,79.73,21.99,27.03,26.5,1.01,11.27,17.71,27.98
2022-12-09,116.24,92.83,17.87,116.24,72.11,1.03,75.84,35.32,2.57,73.9,55.27,43.64,126.78,12.16,34.88,3.23,2.07,1.3,79.86,1.52,19.02,2.58,23.16,6.11,144.53,78.17,21.91,26.55,27.13,1.03,11.09,18.04,27.96
2022-12-08,117.8,93.71,17.72,117.8,72.08,1.02,76.12,34.97,2.6,73.74,54.01,43.88,134.5,12.32,32.84,3.08,2.02,1.32,80.07,1.5146,18.1,2.56,22.62,6.16,142.87,77.8,22.21,26.45,27.78,1.05,10.76,17.69,28.21
2022-12-07,119.35,94.94,17.41,119.35,71.07,1.04,76.34,34.62,2.64,73,53.62,43.16,130.13,12.22,31.17,2.98,1.97,1.29,78.78,1.51,18.01,2.55,22.68,6.2,137.41,75.72,22.11,26.4,27.59,0.952,10.74,15.48,28.59
2022-12-06,120,96.98,17.92,120,71.94,1.07,76.84,34.77,2.76,72.51,52.71,43.35,135.01,12.2,32.39,3.26,2.02,1.41,78.91,1.5193,18.15,2.56,22.72,6.15,136.73,75.16,21.87,26.92,27.55,1.05,10.61,16.32,28.7
2022-12-05,117.37,99.48,18.76,117.37,72.5,1.14,77.73,35.15,2.91,73.03,53.23,43.94,137.21,12.45,31.51,3.35,2.05,1.54,79.43,1.5,19.51,2.55,23.93,6.18,135.63,78.31,21.55,27.7,27.78,1.11,11.15,16.51,29.33
2022-12-02,121.05,100.44,19.23,121.05,74.05,1.16,79.25,35.86,3.27,74.59,55.19,45.2,140.49,13.06,29.85,3.33,2.2,1.71,83.35,1.51,20.38,2.57,24.86,6.24,149.74,80.31,22.02,28.75,28.38,1.16,11.55,16.42,30.23
2022-12-01,121.17,100.99,19.84,121.17,74.12,1.17,79.54,36.28,3.21,73.32,57.12,45.16,139.39,13.36,29.39,2.91,2.16,1.86,84.11,1.51,20.17,2.55,25.58,6.41,154.04,79.45,21.5,28.34,28.26,1.18,11.63,15.15,30.76
2022-11-30,123.91,100.99,19.96,123.91,74.2,1.15,79.6,36.64,2.99,72.76,58.25,45.44,132.09,13.07,30.46,3.02,2.25,1.85,83.03,1.52,20.08,2.55,25.42,6.49,142.9,79.42,20.95,29.14,27.97,1.23,11.4,15.94,30.95
2022-11-29,122.77,95.19,19.48,122.77,72.93,1.19,76.46,35.48,2.69,70.55,53.34,43.77,121.88,12.18,29.91,2.54,2.08,1.75,80.85,1.49,19.75,2.56,24,6.41,136.56,75.1,20.46,27.76,27.52,1.28,11.14,14.74,29.62
2022-11-28,119.35,96.05,20.58,119.35,72.69,1.19,75.09,35.59,2.7,70,54.65,44.33,119.48,11.85,27.53,2.36,2.06,1.82,81.39,1.48,19.24,2.59,24.36,6.38,141.07,76.73,20.31,27.76,27.41,1.26,10.92,13.39,29.21
2022-11-25,120.28,97.46,20.91,120.28,73.25,1.2,77.28,35.65,2.86,70.62,55.47,45.04,120.31,11.95,27.11,2.5,2.17,2.07,82.72,1.48,19.91,2.6,24.99,6.49,144.72,78.73,20.42,28.5,27.33,1.24,11.47,13.18,29.64
2022-11-23,119.17,98.46,21.02,119.17,73.62,1.31,76.78,35.53,2.82,72.27,56.58,45.23,119.99,11.87,27.84,2.76,2.17,1.93,82.56,1.4515,19.66,2.49,25.03,6.5,146.45,78.26,20.64,28.79,26.99,1.26,11.34,13.82,29.57
2022-11-22,120,97.05,20.77,120,72.75,1.18,75.98,35.1,2.76,71.81,53.95,45.13,119.29,11.51,27.04,2.73,2.16,1.64,82.12,1.51,19.14,2.81,24.5,6.49,143.36,75.25,20.41,28.08,26.94,1.155,10.8,13.7,29.16
2022-11-21,118.34,95.6,20.49,118.34,70.73,1.4,75.26,34.35,2.7,69.32,55.27,44.73,114.94,11.41,26.83,2.87,2.2,1.69,79.82,1.5,18.52,4.43,23.8,6.43,141.14,74.12,20.13,28.25,26.63,1.2,10.56,13.82,29.52
2022-11-18,119.7,97.43,20.82,119.7,73.04,1.46,75.3,34.5,2.8,70.01,58.29,45.68,113.92,11.64,28.14,3.03,2.26,1.72,79.73,1.58,18.66,4.5,24.38,6.39,146.2,76.99,20.43,28.96,26.62,1.31,10.77,14.4,29.58
2022-11-17,120.63,98.36,20.77,120.63,72.57,1.54,74.48,34.26,2.95,67.01,58.7,45.47,114.37,12,29.6,3.3,2.35,1.87,79.2,1.73,18.41,4.51,24.52,6.36,147.69,79.45,21.07,28.88,26.26,1.28,10.96,15.9,29.37
2022-11-16,120.25,98.85,20.5,120.25,72.84,1.63,75.66,33.98,3.07,65.66,60.78,45.49,119.72,12.25,29.85,3.15,2.42,1.92,79.89,1.49,18.14,4.51,25.36,6.48,154.15,82.5,21.35,30.04,26.29,1.24,10.91,14.81,29.76
